Ngành,Tên học phần,Lớp,MSSV,Made,Cau 1,Cau 2,Cau 3,Cau 4,Cau 5,TongDiem
Ngôn ngữ Anh,Kỹ năng đọc 1,EL24,212,M01,3.5,2.3,3.5,,,9.3
Ngôn ngữ Anh,Kỹ năng đọc 1,EL24,160,M01,3.5,2.25,3.5,,,9.3
Ngôn ngữ Anh,Kỹ năng đọc 1,EL24,170,M01,3,2.5,3.75,,,9
Ngôn ngữ Anh,Kỹ năng đọc 1,EL24,123,M01,3.8,2.3,3,,,9
Ngôn ngữ Anh,Kỹ năng đọc 1,EL24,154,M01,3.25,2,2.75,,,8
Ngôn ngữ Anh,Kỹ năng đọc 1,EL24,222,M01,3,2,2.8,,,7.8
Ngôn ngữ Anh,Kỹ năng đọc 1,EL24,208,M02,3.5,2.5,1.8,,,7.8
Ngôn ngữ Anh,Kỹ năng đọc 1,EL24,164,M02,3,1.75,2.75,,,7.5
Ngôn ngữ Anh,Kỹ năng đọc 1,EL24,179,M02,2.5,2,2.5,,,7
Ngôn ngữ Anh,Kỹ năng đọc 1,EL24,205,M02,3.25,1.75,2,,,7
Ngôn ngữ Anh,Kỹ năng đọc 1,EL24,138,M02,3,2,1,,,6
Ngôn ngữ Anh,Kỹ năng đọc 1,EL24,116,M02,2.3,2,1.5,,,5.8
Ngôn ngữ Anh,Kỹ năng đọc 1,EL24,110,M02,1.3,1.8,2.5,,,5.6
Ngôn ngữ Anh,Kỹ năng đọc 1,EL24,168,M02,1.75,2,1.75,,,5.5
Ngôn ngữ Anh,Kỹ năng đọc 1,EL24,156,M01,1.75,1.5,2.25,,,5.5
